ZIPCode,State,City,Latitude,Longitude
43240,OH,Columbus,40.15,-82.98
43251,OH,Columbus,39.96,-83.02
43251,OH,National City Bank,39.96,-83.02
43260,OH,Columbus,39.96,-83
43260,OH,Huntington National Bank,39.96,-83
43266,OH,Columbus,40.06,-82.97
43266,OH,State Departments Of Ohio,40.06,-82.97
43268,OH,Columbus,39.96,-82.99
43268,OH,Huntington National Bank,39.96,-82.99
43270,OH,Columbus,39.96,-83
43270,OH,Ohio Dept Of Taxation,39.96,-83
43271,OH,Columbus,39.97,-83.03
43271,OH,Bank One,39.97,-83.03
43272,OH,Columbus,39.96,-83
43272,OH,Main Office Box Brm,39.96,-83
43279,OH,Columbus,39.97,-83.03
43279,OH,Shared Zip Code,39.97,-83.03
43287,OH,Columbus,39.96,-83
43287,OH,Huntington National Bank,39.96,-83
43291,OH,Columbus,39.97,-83.12
43291,OH,Eddie Bauer Co,39.97,-83.12
43301,OH,Marion,40.56,-83.12
43302,OH,Marion,40.59,-83.12
