ZIPCode,State,City,Latitude,Longitude
42276,KY,Gordonsville,36.86,-86.89
42280,KY,Sharon Grove,36.94,-87.09
42285,KY,Sweeden,37.27,-86.27
42285,KY,Kyrock,37.27,-86.27
42286,KY,Trenton,36.73,-87.27
42288,KY,Woodbury,37.18,-86.63
42301,KY,Owensboro,37.76,-87.17
42301,KY,Saint Joseph,37.76,-87.17
42301,KY,St Joseph,37.76,-87.17
42301,KY,Stanley,37.76,-87.17
42302,KY,Owensboro,37.76,-87.05
42303,KY,Owensboro,37.75,-87.08
42304,KY,Owensboro,37.78,-87.17
42320,KY,Beaver Dam,37.38,-86.88
42320,KY,Cool Springs,37.38,-86.88
42320,KY,Echols,37.38,-86.88
42320,KY,Horton,37.38,-86.88
42320,KY,Nineteen,37.38,-86.88
42320,KY,Prentiss,37.38,-86.88
42320,KY,Render,37.38,-86.88
42320,KY,Schultztown,37.38,-86.88
42320,KY,Taylor Mines,37.38,-86.88
42321,KY,Beech Creek,37.18,-87.06
42322,KY,Beech Grove,37.62,-87.39
42323,KY,Beechmont,37.18,-87.03
42324,KY,Belton,37.12,-87.02
42325,KY,Bremen,37.33,-87.27
42326,KY,Browder,37.23,-87.01
42327,KY,Calhoun,37.58,-87.28
42328,KY,Centertown,37.41,-87.03
42330,KY,Central City,37.31,-87.12
42330,KY,Central Cty,37.31,-87.12
42332,KY,Cleaton,37.25,-87.09
42333,KY,Cromwell,37.35,-86.77
42334,KY,Curdsville,37.73,-87.33
42337,KY,Drakesboro,37.25,-87.03
42338,KY,Dundee,37.56,-86.77
42339,KY,Dunmor,37.1,-86.95
42339,KY,Penrod,37.1,-86.95
42343,KY,Fordsville,37.64,-86.69
42343,KY,Trisler,37.64,-86.69
42343,KY,Yeaman,37.64,-86.69
42344,KY,Graham,37.26,-87.31
42345,KY,Greenville,37.17,-87.18
42347,KY,Hartford,37.5,-86.89
42347,KY,Narrows,37.5,-86.89
42348,KY,Hawesville,37.88,-86.76
42348,KY,Arrington Corner,37.88,-86.76
42349,KY,Horse Branch,37.43,-86.67
42350,KY,Island,37.45,-87.16
42351,KY,Lewisport,37.92,-86.89
42352,KY,Livermore,37.51,-87.12
42352,KY,Nuckols,37.51,-87.12
42354,KY,Mc Henry,37.38,-86.93
42354,KY,Mchenry,37.38,-86.93
42355,KY,Maceo,37.86,-86.99
42356,KY,Maple Mount,37.69,-87.32
42361,KY,Olaton,37.52,-86.68
42364,KY,Hawesville,37.75,-86.81
42366,KY,Philpot,37.72,-86.95
42366,KY,Knottsville,37.72,-86.95
42367,KY,Powderly,37.24,-87.16
42368,KY,Reynolds Station,37.7,-86.75
42368,KY,Reynolds Sta,37.7,-86.75
42369,KY,Rockport,37.34,-87
42370,KY,Rosine,37.45,-86.74
42371,KY,Rumsey,37.49,-87.29
42372,KY,Sacramento,37.4,-87.28
42374,KY,South Carrollton,37.33,-87.14
42374,KY,S Carrollton,37.33,-87.14
42376,KY,Utica,37.61,-87.08
42377,KY,West Louisville,37.7,-87.29
42377,KY,W Louisville,37.7,-87.29
42378,KY,Whitesville,37.67,-86.86
42402,KY,Baskett,37.87,-87.46
42404,KY,Clay,37.47,-87.84
42404,KY,Blackford,37.47,-87.84
42404,KY,Blackfrd,37.47,-87.84
42406,KY,Corydon,37.74,-87.71
42406,KY,Geneva,37.74,-87.71
42408,KY,Dawson Springs,37.18,-87.68
42408,KY,Dawson Spgs,37.18,-87.68
